city,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Arlington,"{'concentration': 323.77, 'aqi': 3}","{'concentration': 20.22, 'aqi': 25}","{'concentration': 57.94, 'aqi': 49}","{'concentration': 3.4, 'aqi': 5}","{'concentration': 6.02, 'aqi': 19}","{'concentration': 8.55, 'aqi': 7}",49
Tallahassee,"{'concentration': 250.34, 'aqi': 2}","{'concentration': 4.24, 'aqi': 5}","{'concentration': 41.13, 'aqi': 34}","{'concentration': 0.13, 'aqi': 0}","{'concentration': 3.32, 'aqi': 10}","{'concentration': 4.2, 'aqi': 3}",34
Shreveport,"{'concentration': 337.12, 'aqi': 3}","{'concentration': 26.73, 'aqi': 33}","{'concentration': 30.04, 'aqi': 25}","{'concentration': 8.7, 'aqi': 12}","{'concentration': 7.51, 'aqi': 24}","{'concentration': 9.24, 'aqi': 8}",33
Stockton,"{'concentration': 507.36, 'aqi': 5}","{'concentration': 43.18, 'aqi': 53}","{'concentration': 7.15, 'aqi': 6}","{'concentration': 2.98, 'aqi': 4}","{'concentration': 21.15, 'aqi': 61}","{'concentration': 26.47, 'aqi': 24}",61
Poinciana,"{'concentration': 313.76, 'aqi': 3}","{'concentration': 14.22, 'aqi': 17}","{'concentration': 48.64, 'aqi': 41}","{'concentration': 2.74, 'aqi': 4}","{'concentration': 7.51, 'aqi': 24}","{'concentration': 8.94, 'aqi': 8}",41
Laredo,"{'concentration': 267.03, 'aqi': 3}","{'concentration': 5.66, 'aqi': 7}","{'concentration': 84.4, 'aqi': 123}","{'concentration': 2.98, 'aqi': 4}","{'concentration': 4.52, 'aqi': 14}","{'concentration': 5.29, 'aqi': 4}",123
Harlingen,"{'concentration': 297.07, 'aqi': 3}","{'concentration': 13.37, 'aqi': 16}","{'concentration': 64.37, 'aqi': 66}","{'concentration': 2.89, 'aqi': 4}","{'concentration': 3.4, 'aqi': 11}","{'concentration': 6.09, 'aqi': 5}",66
West Jordan,"{'concentration': 540.73, 'aqi': 6}","{'concentration': 65.8, 'aqi': 82}","{'concentration': 0.46, 'aqi': 0}","{'concentration': 1.94, 'aqi': 2}","{'concentration': 23.04, 'aqi': 65}","{'concentration': 28.91, 'aqi': 26}",82
Bryan,"{'concentration': 320.44, 'aqi': 3}","{'concentration': 15.77, 'aqi': 19}","{'concentration': 62.23, 'aqi': 60}","{'concentration': 7.63, 'aqi': 11}","{'concentration': 9.94, 'aqi': 32}","{'concentration': 11.53, 'aqi': 10}",60
Las Cruces,"{'concentration': 427.25, 'aqi': 4}","{'concentration': 30.16, 'aqi': 37}","{'concentration': 17.7, 'aqi': 14}","{'concentration': 0.54, 'aqi': 0}","{'concentration': 13.86, 'aqi': 45}","{'concentration': 34.37, 'aqi': 31}",45
Wilmington,"{'concentration': 267.03, 'aqi': 3}","{'concentration': 5.83, 'aqi': 7}","{'concentration': 61.51, 'aqi': 57}","{'concentration': 1.12, 'aqi': 1}","{'concentration': 0.68, 'aqi': 2}","{'concentration': 1.5, 'aqi': 1}",57
Chicago,"{'concentration': 480.65, 'aqi': 5}","{'concentration': 56.89, 'aqi': 71}","{'concentration': 3.76, 'aqi': 3}","{'concentration': 9.78, 'aqi': 14}","{'concentration': 13.63, 'aqi': 44}","{'concentration': 20.14, 'aqi': 18}",71
Bethlehem,"{'concentration': 270.37, 'aqi': 3}","{'concentration': 26.05, 'aqi': 32}","{'concentration': 31.83, 'aqi': 26}","{'concentration': 8.35, 'aqi': 12}","{'concentration': 43.37, 'aqi': 105}","{'concentration': 77.37, 'aqi': 61}",105
Pompano Beach,"{'concentration': 270.37, 'aqi': 3}","{'concentration': 8.48, 'aqi': 10}","{'concentration': 67.23, 'aqi': 75}","{'concentration': 0.78, 'aqi': 1}","{'concentration': 3.73, 'aqi': 12}","{'concentration': 9.98, 'aqi': 9}",75
Spring Hill,"{'concentration': 320.44, 'aqi': 3}","{'concentration': 20.56, 'aqi': 25}","{'concentration': 24.68, 'aqi': 20}","{'concentration': 2.35, 'aqi': 3}","{'concentration': 6.78, 'aqi': 22}","{'concentration': 9.32, 'aqi': 8}",25
Hawthorne,"{'concentration': 2029.42, 'aqi': 23}","{'concentration': 219.35, 'aqi': 202}","{'concentration': 0, 'aqi': 0}","{'concentration': 31.47, 'aqi': 46}","{'concentration': 158.56, 'aqi': 208}","{'concentration': 199.96, 'aqi': 122}",208
Saint Louis,"{'concentration': 350.48, 'aqi': 3}","{'concentration': 21.59, 'aqi': 26}","{'concentration': 42.92, 'aqi': 36}","{'concentration': 1.37, 'aqi': 2}","{'concentration': 5.59, 'aqi': 18}","{'concentration': 7.54, 'aqi': 6}",36
New Bedford,"{'concentration': 273.71, 'aqi': 3}","{'concentration': 7.8, 'aqi': 9}","{'concentration': 42.56, 'aqi': 36}","{'concentration': 1.15, 'aqi': 1}","{'concentration': 0.56, 'aqi': 1}","{'concentration': 1.12, 'aqi': 1}",36
Kissimmee,"{'concentration': 293.73, 'aqi': 3}","{'concentration': 10.54, 'aqi': 13}","{'concentration': 52.93, 'aqi': 44}","{'concentration': 3.25, 'aqi': 4}","{'concentration': 6.63, 'aqi': 21}","{'concentration': 7.91, 'aqi': 7}",44
Cambridge,"{'concentration': 283.72, 'aqi': 3}","{'concentration': 43.53, 'aqi': 54}","{'concentration': 7.78, 'aqi': 6}","{'concentration': 4.35, 'aqi': 6}","{'concentration': 8.27, 'aqi': 26}","{'concentration': 12.89, 'aqi': 11}",54
Glendale,"{'concentration': 1949.31, 'aqi': 22}","{'concentration': 252.25, 'aqi': 208}","{'concentration': 0, 'aqi': 0}","{'concentration': 46.25, 'aqi': 55}","{'concentration': 183.9, 'aqi': 233}","{'concentration': 218.98, 'aqi': 132}",233
Palm Coast,"{'concentration': 287.06, 'aqi': 3}","{'concentration': 9.51, 'aqi': 11}","{'concentration': 43.27, 'aqi': 36}","{'concentration': 2.12, 'aqi': 3}","{'concentration': 4.73, 'aqi': 15}","{'concentration': 5.64, 'aqi': 5}",36
Carrollton,"{'concentration': 390.53, 'aqi': 4}","{'concentration': 40.1, 'aqi': 50}","{'concentration': 40.77, 'aqi': 34}","{'concentration': 3.79, 'aqi': 5}","{'concentration': 7.88, 'aqi': 25}","{'concentration': 11.97, 'aqi': 11}",50
Bay,"{'concentration': 257.02, 'aqi': 2}","{'concentration': 4.37, 'aqi': 5}","{'concentration': 31.47, 'aqi': 26}","{'concentration': 0.15, 'aqi': 0}","{'concentration': 2.57, 'aqi': 8}","{'concentration': 2.68, 'aqi': 2}",26
West Palm Beach,"{'concentration': 243.66, 'aqi': 2}","{'concentration': 3.09, 'aqi': 3}","{'concentration': 77.25, 'aqi': 105}","{'concentration': 0.4, 'aqi': 0}","{'concentration': 2.76, 'aqi': 8}","{'concentration': 9.19, 'aqi': 8}",105
Beaverton,"{'concentration': 277.04, 'aqi': 3}","{'concentration': 16.62, 'aqi': 20}","{'concentration': 19.13, 'aqi': 16}","{'concentration': 0.25, 'aqi': 0}","{'concentration': 3, 'aqi': 9}","{'concentration': 6, 'aqi': 5}",20
Racine,"{'concentration': 317.1, 'aqi': 3}","{'concentration': 14.05, 'aqi': 17}","{'concentration': 45.06, 'aqi': 38}","{'concentration': 2.5, 'aqi': 3}","{'concentration': 5.84, 'aqi': 18}","{'concentration': 7.67, 'aqi': 7}",38
Glen Burnie,"{'concentration': 323.77, 'aqi': 3}","{'concentration': 17.31, 'aqi': 21}","{'concentration': 41.49, 'aqi': 35}","{'concentration': 2.89, 'aqi': 4}","{'concentration': 3.09, 'aqi': 10}","{'concentration': 5.52, 'aqi': 5}",35
Merced,"{'concentration': 393.87, 'aqi': 4}","{'concentration': 23.65, 'aqi': 29}","{'concentration': 18.06, 'aqi': 15}","{'concentration': 0.42, 'aqi': 0}","{'concentration': 16.52, 'aqi': 52}","{'concentration': 21.82, 'aqi': 20}",52
Davenport,"{'concentration': 297.07, 'aqi': 3}","{'concentration': 11.14, 'aqi': 13}","{'concentration': 41.84, 'aqi': 35}","{'concentration': 1.06, 'aqi': 1}","{'concentration': 5.31, 'aqi': 17}","{'concentration': 6.08, 'aqi': 5}",35
Guaynabo,"{'concentration': 193.6, 'aqi': 2}","{'concentration': 0.21, 'aqi': 0}","{'concentration': 67.23, 'aqi': 75}","{'concentration': 0.26, 'aqi': 0}","{'concentration': 1.98, 'aqi': 6}","{'concentration': 6.24, 'aqi': 5}",75
Fort Myers,"{'concentration': 257.02, 'aqi': 2}","{'concentration': 3, 'aqi': 3}","{'concentration': 67.95, 'aqi': 77}","{'concentration': 0.66, 'aqi': 0}","{'concentration': 4.34, 'aqi': 14}","{'concentration': 4.88, 'aqi': 4}",77
Fort Smith,"{'concentration': 423.91, 'aqi': 4}","{'concentration': 31.53, 'aqi': 39}","{'concentration': 30.4, 'aqi': 25}","{'concentration': 1.8, 'aqi': 2}","{'concentration': 10.83, 'aqi': 35}","{'concentration': 14.72, 'aqi': 13}",39
Jersey City,"{'concentration': 360.49, 'aqi': 4}","{'concentration': 26.73, 'aqi': 33}","{'concentration': 26.46, 'aqi': 22}","{'concentration': 1.86, 'aqi': 2}","{'concentration': 4.22, 'aqi': 13}","{'concentration': 8.06, 'aqi': 7}",33
Hialeah,"{'concentration': 253.68, 'aqi': 2}","{'concentration': 6, 'aqi': 7}","{'concentration': 65.09, 'aqi': 69}","{'concentration': 0.86, 'aqi': 1}","{'concentration': 3.18, 'aqi': 10}","{'concentration': 8.31, 'aqi': 7}",69
Rio Rancho,"{'concentration': 247, 'aqi': 2}","{'concentration': 4.97, 'aqi': 6}","{'concentration': 63.66, 'aqi': 64}","{'concentration': 0.4, 'aqi': 0}","{'concentration': 5.92, 'aqi': 19}","{'concentration': 15.73, 'aqi': 14}",64
Tulsa,"{'concentration': 587.46, 'aqi': 6}","{'concentration': 48.67, 'aqi': 60}","{'concentration': 0.67, 'aqi': 0}","{'concentration': 1.04, 'aqi': 1}","{'concentration': 15.5, 'aqi': 50}","{'concentration': 18.24, 'aqi': 16}",60
Spokane,"{'concentration': 363.83, 'aqi': 4}","{'concentration': 11.82, 'aqi': 14}","{'concentration': 31.11, 'aqi': 26}","{'concentration': 0.23, 'aqi': 0}","{'concentration': 2.9, 'aqi': 9}","{'concentration': 3.4, 'aqi': 3}",26
Albany,"{'concentration': 277.04, 'aqi': 3}","{'concentration': 5.06, 'aqi': 6}","{'concentration': 56.51, 'aqi': 47}","{'concentration': 0.37, 'aqi': 0}","{'concentration': 0.95, 'aqi': 3}","{'concentration': 1.5, 'aqi': 1}",47
Visalia,"{'concentration': 423.91, 'aqi': 4}","{'concentration': 29.13, 'aqi': 36}","{'concentration': 20.21, 'aqi': 17}","{'concentration': 0.66, 'aqi': 0}","{'concentration': 27.2, 'aqi': 73}","{'concentration': 32.64, 'aqi': 30}",73
Compton,"{'concentration': 2029.42, 'aqi': 23}","{'concentration': 219.35, 'aqi': 202}","{'concentration': 0, 'aqi': 0}","{'concentration': 31.47, 'aqi': 46}","{'concentration': 158.56, 'aqi': 208}","{'concentration': 199.96, 'aqi': 122}",208
Charleston,"{'concentration': 393.87, 'aqi': 4}","{'concentration': 23.31, 'aqi': 29}","{'concentration': 13.77, 'aqi': 11}","{'concentration': 1.94, 'aqi': 2}","{'concentration': 8.36, 'aqi': 27}","{'concentration': 9.97, 'aqi': 9}",29
Bellingham,"{'concentration': 427.25, 'aqi': 4}","{'concentration': 40.78, 'aqi': 50}","{'concentration': 0.46, 'aqi': 0}","{'concentration': 7.27, 'aqi': 10}","{'concentration': 10.34, 'aqi': 33}","{'concentration': 14.8, 'aqi': 13}",50
Lee's Summit,"{'concentration': 433.92, 'aqi': 4}","{'concentration': 34.96, 'aqi': 43}","{'concentration': 8.85, 'aqi': 7}","{'concentration': 0.89, 'aqi': 1}","{'concentration': 8.38, 'aqi': 27}","{'concentration': 12.24, 'aqi': 11}",43
Baton Rouge,"{'concentration': 520.71, 'aqi': 5}","{'concentration': 52.78, 'aqi': 65}","{'concentration': 0.16, 'aqi': 0}","{'concentration': 5.36, 'aqi': 7}","{'concentration': 14.62, 'aqi': 47}","{'concentration': 16.55, 'aqi': 15}",65
Mesquite,"{'concentration': 273.71, 'aqi': 3}","{'concentration': 11.65, 'aqi': 14}","{'concentration': 67.95, 'aqi': 77}","{'concentration': 2.83, 'aqi': 4}","{'concentration': 5.43, 'aqi': 17}","{'concentration': 7.96, 'aqi': 7}",77
Loveland,"{'concentration': 327.11, 'aqi': 3}","{'concentration': 18.17, 'aqi': 22}","{'concentration': 31.83, 'aqi': 26}","{'concentration': 0.24, 'aqi': 0}","{'concentration': 6.12, 'aqi': 19}","{'concentration': 8.2, 'aqi': 7}",26
Denton,"{'concentration': 433.92, 'aqi': 4}","{'concentration': 45.93, 'aqi': 57}","{'concentration': 27.18, 'aqi': 23}","{'concentration': 2.41, 'aqi': 3}","{'concentration': 9.76, 'aqi': 31}","{'concentration': 12.83, 'aqi': 11}",57
Gaithersburg,"{'concentration': 313.76, 'aqi': 3}","{'concentration': 14.05, 'aqi': 17}","{'concentration': 41.84, 'aqi': 35}","{'concentration': 2.89, 'aqi': 4}","{'concentration': 2.25, 'aqi': 7}","{'concentration': 3.74, 'aqi': 3}",35
Cleveland,"{'concentration': 283.72, 'aqi': 3}","{'concentration': 8.91, 'aqi': 11}","{'concentration': 57.94, 'aqi': 49}","{'concentration': 2.98, 'aqi': 4}","{'concentration': 3.56, 'aqi': 11}","{'concentration': 4.74, 'aqi': 4}",49
Tracy,"{'concentration': 473.98, 'aqi': 5}","{'concentration': 56.89, 'aqi': 71}","{'concentration': 25.03, 'aqi': 21}","{'concentration': 6.32, 'aqi': 9}","{'concentration': 31.97, 'aqi': 83}","{'concentration': 39.29, 'aqi': 36}",83
Victoria,"{'concentration': 373.84, 'aqi': 4}","{'concentration': 24.33, 'aqi': 30}","{'concentration': 22.89, 'aqi': 19}","{'concentration': 4.59, 'aqi': 6}","{'concentration': 5, 'aqi': 16}","{'concentration': 6.47, 'aqi': 5}",30
Trenton,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 5.31, 'aqi': 6}","{'concentration': 62.94, 'aqi': 62}","{'concentration': 1.74, 'aqi': 2}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 1.31, 'aqi': 1}",62
Lake Forest,"{'concentration': 343.8, 'aqi': 3}","{'concentration': 21.25, 'aqi': 26}","{'concentration': 37.91, 'aqi': 32}","{'concentration': 5.13, 'aqi': 7}","{'concentration': 7.79, 'aqi': 25}","{'concentration': 10.15, 'aqi': 9}",32
Kennewick,"{'concentration': 283.72, 'aqi': 3}","{'concentration': 4.2, 'aqi': 5}","{'concentration': 52.21, 'aqi': 44}","{'concentration': 0.12, 'aqi': 0}","{'concentration': 1.69, 'aqi': 5}","{'concentration': 3.7, 'aqi': 3}",44
Manteca,"{'concentration': 507.36, 'aqi': 5}","{'concentration': 43.18, 'aqi': 53}","{'concentration': 7.15, 'aqi': 6}","{'concentration': 2.98, 'aqi': 4}","{'concentration': 21.15, 'aqi': 61}","{'concentration': 26.47, 'aqi': 24}",61
Plymouth,"{'concentration': 216.96, 'aqi': 2}","{'concentration': 1.29, 'aqi': 1}","{'concentration': 79.39, 'aqi': 110}","{'concentration': 0.52, 'aqi': 0}","{'concentration': 1.09, 'aqi': 3}","{'concentration': 1.84, 'aqi': 1}",110
Greeley,"{'concentration': 223.64, 'aqi': 2}","{'concentration': 4.11, 'aqi': 5}","{'concentration': 56.51, 'aqi': 47}","{'concentration': 0.5, 'aqi': 0}","{'concentration': 1.1, 'aqi': 3}","{'concentration': 1.77, 'aqi': 1}",47
Redwood City,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 11.82, 'aqi': 14}","{'concentration': 60.8, 'aqi': 55}","{'concentration': 1.18, 'aqi': 1}","{'concentration': 2.93, 'aqi': 9}","{'concentration': 5.88, 'aqi': 5}",55
Norman,"{'concentration': 377.18, 'aqi': 4}","{'concentration': 23.99, 'aqi': 29}","{'concentration': 26.82, 'aqi': 22}","{'concentration': 0.43, 'aqi': 0}","{'concentration': 7.21, 'aqi': 23}","{'concentration': 10.62, 'aqi': 9}",29
Sacramento,"{'concentration': 841.14, 'aqi': 9}","{'concentration': 55.52, 'aqi': 69}","{'concentration': 0, 'aqi': 0}","{'concentration': 4.23, 'aqi': 6}","{'concentration': 26.92, 'aqi': 73}","{'concentration': 31.69, 'aqi': 29}",73
Gulfport,"{'concentration': 403.88, 'aqi': 4}","{'concentration': 23.65, 'aqi': 29}","{'concentration': 32.9, 'aqi': 27}","{'concentration': 1.85, 'aqi': 2}","{'concentration': 9.05, 'aqi': 29}","{'concentration': 10.52, 'aqi': 9}",29
Dothan,"{'concentration': 243.66, 'aqi': 2}","{'concentration': 3.9, 'aqi': 4}","{'concentration': 41.84, 'aqi': 35}","{'concentration': 0.22, 'aqi': 0}","{'concentration': 3.02, 'aqi': 9}","{'concentration': 4.07, 'aqi': 3}",35
Nashville,"{'concentration': 607.49, 'aqi': 6}","{'concentration': 47.3, 'aqi': 59}","{'concentration': 0.17, 'aqi': 0}","{'concentration': 0.49, 'aqi': 0}","{'concentration': 15.1, 'aqi': 49}","{'concentration': 19.07, 'aqi': 17}",59
Torrance,"{'concentration': 2029.42, 'aqi': 23}","{'concentration': 219.35, 'aqi': 202}","{'concentration': 0, 'aqi': 0}","{'concentration': 31.47, 'aqi': 46}","{'concentration': 158.56, 'aqi': 208}","{'concentration': 199.96, 'aqi': 122}",208
Federal Way,"{'concentration': 383.85, 'aqi': 4}","{'concentration': 33.93, 'aqi': 42}","{'concentration': 21.99, 'aqi': 18}","{'concentration': 2.65, 'aqi': 3}","{'concentration': 7.08, 'aqi': 22}","{'concentration': 10.27, 'aqi': 9}",42
Pasco,"{'concentration': 283.72, 'aqi': 3}","{'concentration': 4.2, 'aqi': 5}","{'concentration': 52.21, 'aqi': 44}","{'concentration': 0.12, 'aqi': 0}","{'concentration': 1.69, 'aqi': 5}","{'concentration': 3.7, 'aqi': 3}",44
Camarillo,"{'concentration': 300.41, 'aqi': 3}","{'concentration': 12.85, 'aqi': 16}","{'concentration': 36.48, 'aqi': 30}","{'concentration': 0.17, 'aqi': 0}","{'concentration': 8.52, 'aqi': 27}","{'concentration': 12.5, 'aqi': 11}",30
Riverview,"{'concentration': 287.06, 'aqi': 3}","{'concentration': 1.89, 'aqi': 2}","{'concentration': 41.13, 'aqi': 34}","{'concentration': 0.05, 'aqi': 0}","{'concentration': 0.66, 'aqi': 2}","{'concentration': 0.7, 'aqi': 0}",34
Turlock,"{'concentration': 587.46, 'aqi': 6}","{'concentration': 42.84, 'aqi': 53}","{'concentration': 0.22, 'aqi': 0}","{'concentration': 1.68, 'aqi': 2}","{'concentration': 20.37, 'aqi': 59}","{'concentration': 26.95, 'aqi': 24}",59
Highlands Ranch,"{'concentration': 854.49, 'aqi': 9}","{'concentration': 86.37, 'aqi': 103}","{'concentration': 0.01, 'aqi': 0}","{'concentration': 4.17, 'aqi': 6}","{'concentration': 38.28, 'aqi': 95}","{'concentration': 45.22, 'aqi': 41}",103
Broken Arrow,"{'concentration': 433.92, 'aqi': 4}","{'concentration': 32.9, 'aqi': 41}","{'concentration': 12.52, 'aqi': 10}","{'concentration': 0.55, 'aqi': 0}","{'concentration': 10.14, 'aqi': 32}","{'concentration': 13.16, 'aqi': 12}",41
Huntsville,"{'concentration': 507.36, 'aqi': 5}","{'concentration': 31.53, 'aqi': 39}","{'concentration': 8.14, 'aqi': 6}","{'concentration': 0.37, 'aqi': 0}","{'concentration': 10.47, 'aqi': 33}","{'concentration': 13.65, 'aqi': 12}",39
Kalamazoo,"{'concentration': 313.76, 'aqi': 3}","{'concentration': 16.45, 'aqi': 20}","{'concentration': 37.55, 'aqi': 31}","{'concentration': 9.3, 'aqi': 13}","{'concentration': 6.15, 'aqi': 19}","{'concentration': 7.45, 'aqi': 6}",31
Carmel,"{'concentration': 353.81, 'aqi': 4}","{'concentration': 22.96, 'aqi': 28}","{'concentration': 29.68, 'aqi': 25}","{'concentration': 3.58, 'aqi': 5}","{'concentration': 7.52, 'aqi': 24}","{'concentration': 10.41, 'aqi': 9}",28
Vacaville,"{'concentration': 480.65, 'aqi': 5}","{'concentration': 44.55, 'aqi': 55}","{'concentration': 3.13, 'aqi': 2}","{'concentration': 1.33, 'aqi': 1}","{'concentration': 12.84, 'aqi': 41}","{'concentration': 16.92, 'aqi': 15}",55
Waukesha,"{'concentration': 280.38, 'aqi': 3}","{'concentration': 7.8, 'aqi': 9}","{'concentration': 52.93, 'aqi': 44}","{'concentration': 0.95, 'aqi': 1}","{'concentration': 4.7, 'aqi': 15}","{'concentration': 5.39, 'aqi': 4}",44
Buena Park,"{'concentration': 1214.98, 'aqi': 13}","{'concentration': 104.19, 'aqi': 113}","{'concentration': 0, 'aqi': 0}","{'concentration': 10.13, 'aqi': 14}","{'concentration': 54.63, 'aqi': 128}","{'concentration': 80.61, 'aqi': 63}",128
Amarillo,"{'concentration': 233.65, 'aqi': 2}","{'concentration': 3.9, 'aqi': 4}","{'concentration': 64.37, 'aqi': 66}","{'concentration': 0.78, 'aqi': 1}","{'concentration': 4.22, 'aqi': 13}","{'concentration': 10.44, 'aqi': 9}",66
League City,"{'concentration': 337.12, 'aqi': 3}","{'concentration': 27.42, 'aqi': 34}","{'concentration': 50.78, 'aqi': 43}","{'concentration': 2.92, 'aqi': 4}","{'concentration': 6.54, 'aqi': 21}","{'concentration': 9.86, 'aqi': 9}",43
Pharr,"{'concentration': 313.76, 'aqi': 3}","{'concentration': 16.45, 'aqi': 20}","{'concentration': 61.51, 'aqi': 57}","{'concentration': 3.49, 'aqi': 5}","{'concentration': 3.61, 'aqi': 11}","{'concentration': 6.19, 'aqi': 5}",57
Orange,"{'concentration': 340.46, 'aqi': 3}","{'concentration': 12.17, 'aqi': 15}","{'concentration': 11.62, 'aqi': 9}","{'concentration': 1.94, 'aqi': 2}","{'concentration': 12.14, 'aqi': 39}","{'concentration': 13.32, 'aqi': 12}",39
Pembroke Pines,"{'concentration': 243.66, 'aqi': 2}","{'concentration': 4.88, 'aqi': 6}","{'concentration': 66.52, 'aqi': 73}","{'concentration': 0.63, 'aqi': 0}","{'concentration': 2.84, 'aqi': 9}","{'concentration': 7.74, 'aqi': 7}",73
Palo Alto,"{'concentration': 310.42, 'aqi': 3}","{'concentration': 25.02, 'aqi': 31}","{'concentration': 50.07, 'aqi': 42}","{'concentration': 2.98, 'aqi': 4}","{'concentration': 5.22, 'aqi': 16}","{'concentration': 10.49, 'aqi': 9}",42
Wichita,"{'concentration': 433.92, 'aqi': 4}","{'concentration': 28.1, 'aqi': 35}","{'concentration': 5.54, 'aqi': 4}","{'concentration': 0.16, 'aqi': 0}","{'concentration': 8.83, 'aqi': 28}","{'concentration': 13.75, 'aqi': 12}",35
Yorba Linda,"{'concentration': 1214.98, 'aqi': 13}","{'concentration': 104.19, 'aqi': 113}","{'concentration': 0, 'aqi': 0}","{'concentration': 10.13, 'aqi': 14}","{'concentration': 54.63, 'aqi': 128}","{'concentration': 80.61, 'aqi': 63}",128
Fontana,"{'concentration': 574.11, 'aqi': 6}","{'concentration': 76.08, 'aqi': 95}","{'concentration': 12.52, 'aqi': 10}","{'concentration': 7.87, 'aqi': 11}","{'concentration': 35.38, 'aqi': 89}","{'concentration': 48.4, 'aqi': 44}",95
Sterling Heights,"{'concentration': 333.79, 'aqi': 3}","{'concentration': 20.91, 'aqi': 26}","{'concentration': 38.98, 'aqi': 33}","{'concentration': 2.5, 'aqi': 3}","{'concentration': 5.23, 'aqi': 16}","{'concentration': 7.38, 'aqi': 6}",33
Dallas,"{'concentration': 320.44, 'aqi': 3}","{'concentration': 20.91, 'aqi': 26}","{'concentration': 59.37, 'aqi': 51}","{'concentration': 3.87, 'aqi': 5}","{'concentration': 6.63, 'aqi': 21}","{'concentration': 9.93, 'aqi': 9}",51
Saint Paul,"{'concentration': 333.79, 'aqi': 3}","{'concentration': 17.65, 'aqi': 22}","{'concentration': 37.91, 'aqi': 32}","{'concentration': 2.98, 'aqi': 4}","{'concentration': 8.09, 'aqi': 26}","{'concentration': 10.24, 'aqi': 9}",32
Pasadena,"{'concentration': 1348.5, 'aqi': 15}","{'concentration': 163.14, 'aqi': 147}","{'concentration': 0, 'aqi': 0}","{'concentration': 25.27, 'aqi': 37}","{'concentration': 114.48, 'aqi': 178}","{'concentration': 142.7, 'aqi': 94}",178
Fullerton,"{'concentration': 1214.98, 'aqi': 13}","{'concentration': 104.19, 'aqi': 113}","{'concentration': 0, 'aqi': 0}","{'concentration': 10.13, 'aqi': 14}","{'concentration': 54.63, 'aqi': 128}","{'concentration': 80.61, 'aqi': 63}",128
Madison,"{'concentration': 283.72, 'aqi': 3}","{'concentration': 8.31, 'aqi': 10}","{'concentration': 52.21, 'aqi': 44}","{'concentration': 1.91, 'aqi': 2}","{'concentration': 6.27, 'aqi': 20}","{'concentration': 6.91, 'aqi': 6}",44
Paterson,"{'concentration': 277.04, 'aqi': 3}","{'concentration': 6.68, 'aqi': 8}","{'concentration': 52.21, 'aqi': 44}","{'concentration': 0.59, 'aqi': 0}","{'concentration': 0.7, 'aqi': 2}","{'concentration': 1.56, 'aqi': 1}",44
Everett,"{'concentration': 380.52, 'aqi': 4}","{'concentration': 29.82, 'aqi': 37}","{'concentration': 20.74, 'aqi': 17}","{'concentration': 4.95, 'aqi': 7}","{'concentration': 9.4, 'aqi': 30}","{'concentration': 10.65, 'aqi': 9}",37
Bellevue,"{'concentration': 420.57, 'aqi': 4}","{'concentration': 37.36, 'aqi': 46}","{'concentration': 10.82, 'aqi': 9}","{'concentration': 2.47, 'aqi': 3}","{'concentration': 9.25, 'aqi': 30}","{'concentration': 12.37, 'aqi': 11}",46
Vallejo,"{'concentration': 333.79, 'aqi': 3}","{'concentration': 23.31, 'aqi': 29}","{'concentration': 19.13, 'aqi': 16}","{'concentration': 1.12, 'aqi': 1}","{'concentration': 6.53, 'aqi': 21}","{'concentration': 11.68, 'aqi': 10}",29
Bayonne,"{'concentration': 211.95, 'aqi': 2}","{'concentration': 1.59, 'aqi': 1}","{'concentration': 69.38, 'aqi': 82}","{'concentration': 0.17, 'aqi': 0}","{'concentration': 1.15, 'aqi': 3}","{'concentration': 2.19, 'aqi': 2}",82
Roanoke,"{'concentration': 290.39, 'aqi': 3}","{'concentration': 9.94, 'aqi': 12}","{'concentration': 31.11, 'aqi': 26}","{'concentration': 2.21, 'aqi': 3}","{'concentration': 1.82, 'aqi': 5}","{'concentration': 2.68, 'aqi': 2}",26
O'Fallon,"{'concentration': 293.73, 'aqi': 3}","{'concentration': 10.45, 'aqi': 13}","{'concentration': 42.92, 'aqi': 36}","{'concentration': 0.14, 'aqi': 0}","{'concentration': 2.88, 'aqi': 9}","{'concentration': 4.31, 'aqi': 3}",36
Concord,"{'concentration': 263.69, 'aqi': 2}","{'concentration': 2.64, 'aqi': 3}","{'concentration': 44.35, 'aqi': 37}","{'concentration': 0.1, 'aqi': 0}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.56, 'aqi': 0}",37
Anaheim,"{'concentration': 1214.98, 'aqi': 13}","{'concentration': 104.19, 'aqi': 113}","{'concentration': 0, 'aqi': 0}","{'concentration': 10.13, 'aqi': 14}","{'concentration': 54.63, 'aqi': 128}","{'concentration': 80.61, 'aqi': 63}",128
Cedar Rapids,"{'concentration': 283.72, 'aqi': 3}","{'concentration': 9.77, 'aqi': 12}","{'concentration': 36.84, 'aqi': 31}","{'concentration': 2, 'aqi': 2}","{'concentration': 5.41, 'aqi': 17}","{'concentration': 6.29, 'aqi': 5}",31
