city,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Davie,"{'concentration': 243.66, 'aqi': 2}","{'concentration': 4.88, 'aqi': 6}","{'concentration': 66.52, 'aqi': 73}","{'concentration': 0.63, 'aqi': 0}","{'concentration': 2.84, 'aqi': 9}","{'concentration': 7.74, 'aqi': 7}",73
Rapid City,"{'concentration': 216.96, 'aqi': 2}","{'concentration': 1.35, 'aqi': 1}","{'concentration': 63.66, 'aqi': 64}","{'concentration': 0.02, 'aqi': 0}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 1.37, 'aqi': 1}",64
Lauderhill,"{'concentration': 243.66, 'aqi': 2}","{'concentration': 4.88, 'aqi': 6}","{'concentration': 66.52, 'aqi': 73}","{'concentration': 0.63, 'aqi': 0}","{'concentration': 2.84, 'aqi': 9}","{'concentration': 7.74, 'aqi': 7}",73
Lawton,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 4.54, 'aqi': 5}","{'concentration': 45.78, 'aqi': 38}","{'concentration': 0.05, 'aqi': 0}","{'concentration': 3.23, 'aqi': 10}","{'concentration': 5.16, 'aqi': 4}",38
Lexington-Fayette  county,"{'concentration': 307.08, 'aqi': 3}","{'concentration': 14.05, 'aqi': 17}","{'concentration': 34.69, 'aqi': 29}","{'concentration': 0.54, 'aqi': 0}","{'concentration': 3.28, 'aqi': 10}","{'concentration': 4.16, 'aqi': 3}",29
Denver,"{'concentration': 574.11, 'aqi': 6}","{'concentration': 61.01, 'aqi': 76}","{'concentration': 1.63, 'aqi': 1}","{'concentration': 2.92, 'aqi': 4}","{'concentration': 18.83, 'aqi': 56}","{'concentration': 23.65, 'aqi': 21}",76
Columbia,"{'concentration': 290.39, 'aqi': 3}","{'concentration': 11.31, 'aqi': 14}","{'concentration': 11.62, 'aqi': 9}","{'concentration': 0.05, 'aqi': 0}","{'concentration': 2.86, 'aqi': 9}","{'concentration': 4.95, 'aqi': 4}",14
Tacoma,"{'concentration': 307.08, 'aqi': 3}","{'concentration': 13.71, 'aqi': 17}","{'concentration': 36.12, 'aqi': 30}","{'concentration': 0.89, 'aqi': 1}","{'concentration': 3.19, 'aqi': 10}","{'concentration': 4.32, 'aqi': 4}",30
Lake Charles,"{'concentration': 317.1, 'aqi': 3}","{'concentration': 19.02, 'aqi': 23}","{'concentration': 30.04, 'aqi': 25}","{'concentration': 1.83, 'aqi': 2}","{'concentration': 8.32, 'aqi': 27}","{'concentration': 9.86, 'aqi': 9}",27
Union City,"{'concentration': 310.42, 'aqi': 3}","{'concentration': 25.02, 'aqi': 31}","{'concentration': 50.07, 'aqi': 42}","{'concentration': 2.98, 'aqi': 4}","{'concentration': 5.22, 'aqi': 16}","{'concentration': 10.49, 'aqi': 9}",42
